"";"game_id";"half_elapsed";"type";"cards"
"453";1894;69;"goal";NA
"454";1894;80;"goal";NA
"455";1895;14;"goal";NA
"456";1895;71;"goal";NA
"457";1895;80;"goal";NA
"458";1895;84;"goal";NA
"459";1896;31;"goal";NA
"460";1896;64;"goal";NA
"461";1896;73;"goal";NA
"462";1896;75;"goal";NA
"463";1896;87;"goal";NA
"464";1897;44;"goal";NA
"465";1897;53;"goal";NA
"466";1897;69;"goal";NA
"467";1897;73;"goal";NA
"468";1898;37;NA;"r"
"469";1898;50;"goal";NA
"470";1899;65;NA;"r"
"471";1899;78;"goal";NA
"472";1899;95;"goal";NA
"473";1900;14;"goal";NA
"474";1900;37;NA;"y2"
"475";1901;22;"goal";NA
"476";1901;62;"goal";NA
"477";1902;40;"goal";NA
"478";1902;49;"goal";NA
"479";1902;93;"goal";NA
"480";1903;51;"goal";NA
"481";1904;17;"goal";NA
"482";1904;27;"goal";NA
"483";1904;42;"goal";NA
"484";1904;91;"goal";NA
"485";1905;2;"goal";NA
"486";1905;4;"goal";NA
"487";1905;9;"goal";NA
"488";1905;40;"goal";NA
"489";1905;73;"goal";NA
"490";1906;62;"goal";NA
"491";1906;69;"goal";NA
"492";1906;76;"goal";NA
"493";1906;78;"goal";NA
"494";1906;85;"goal";NA
"495";1906;92;"goal";NA
"496";1909;23;"goal";NA
"497";1909;32;"goal";NA
"498";1909;45;"goal";NA
"499";1909;60;"goal";NA
"500";1911;51;"goal";NA
"501";1911;66;"goal";NA
"502";1911;78;"goal";NA
"503";1912;19;"goal";NA
"504";1914;42;"goal";NA
"505";1914;44;NA;"r"
"506";1915;61;"goal";NA
"507";1915;72;"goal";NA
"508";1915;92;"goal";NA
"509";1916;9;"goal";NA
"510";1916;11;"goal";NA
"511";1916;66;"goal";NA
"512";1917;17;"goal";NA
"513";1917;27;"goal";NA
"514";1917;86;"goal";NA
"515";1918;75;"goal";NA
"516";1918;78;"goal";NA
"517";1918;80;"goal";NA
"518";1918;92;"goal";NA
"519";1919;9;"goal";NA
"520";1919;41;"goal";NA
"521";1919;82;"goal";NA
"522";1919;89;"goal";NA
"523";1921;3;"goal";NA
"524";1921;89;"goal";NA
"525";1922;71;"goal";NA
"526";1923;45;"goal";NA
"527";1923;79;"goal";NA
"528";1923;88;"goal";NA
"529";1923;91;"goal";NA
"530";1924;23;"goal";NA
"531";1924;36;"goal";NA
"532";1924;70;"goal";NA
"533";1925;32;"goal";NA
"534";1925;63;"goal";NA
"535";1925;93;"goal";NA
"536";1926;47;"goal";NA
"537";1927;34;"goal";NA
"538";1927;37;"goal";NA
"539";1927;64;NA;"r"
"540";1927;70;NA;"y2"
"541";1927;79;"goal";NA
"542";1928;25;"goal";NA
"543";1928;83;"goal";NA
"544";1928;91;"goal";NA
"545";1929;9;"goal";NA
"546";1929;12;"goal";NA
"547";1929;14;"goal";NA
"548";1929;40;"goal";NA
"549";1929;79;"goal";NA
"550";1929;91;"goal";NA
"551";1930;4;"goal";NA
"552";1930;7;"goal";NA
"553";1930;38;"goal";NA
"554";1930;44;"goal";NA
"555";1931;79;"goal";NA
"556";1932;14;"goal";NA
"557";1932;67;"goal";NA
"558";1932;73;"goal";NA
"559";1933;34;"goal";NA
"560";1933;37;NA;"y2"
"561";1933;52;NA;"r"
"562";1934;52;"goal";NA
"563";1934;65;"goal";NA
"564";1935;9;"goal";NA
"565";1935;20;"goal";NA
"566";1935;56;"goal";NA
"567";1936;24;"goal";NA
"568";1936;89;"goal";NA
"569";1938;93;"goal";NA
"570";1939;23;"goal";NA
"571";1939;28;"goal";NA
"572";1939;44;"goal";NA
"573";1939;76;NA;"r"
"574";1939;77;"goal";NA
"575";1939;91;"goal";NA
"576";1940;2;"goal";NA
"577";1940;65;"goal";NA
"578";1940;87;"goal";NA
"579";1940;92;"goal";NA
"580";1941;12;"goal";NA
"581";1941;41;"goal";NA
"582";1941;46;"goal";NA
"583";1941;62;"goal";NA
"584";1941;76;"goal";NA
"585";1943;5;"goal";NA
"586";1943;50;"goal";NA
"587";1943;85;"goal";NA
"588";1944;18;"goal";NA
"589";1944;24;"goal";NA
"590";1944;52;"goal";NA
"591";1944;91;"goal";NA
"592";1945;30;"goal";NA
"593";1945;77;NA;"y2"
"594";1945;94;"goal";NA
"595";1946;37;"goal";NA
"596";1946;42;"goal";NA
"597";1946;46;"goal";NA
"598";1946;56;"goal";NA
"599";1946;88;"goal";NA
"600";1947;9;"goal";NA
"601";1947;38;"goal";NA
"602";1948;2;"goal";NA
"603";1948;18;"goal";NA
"604";1949;12;"goal";NA
"605";1949;24;"goal";NA
"606";1949;30;"goal";NA
"607";1949;46;"goal";NA
"608";1949;63;"goal";NA
"609";1950;18;"goal";NA
"610";1950;42;"goal";NA
"611";1950;60;"goal";NA
"612";1951;46;"goal";NA
"613";1951;51;"goal";NA
"614";1951;58;"goal";NA
"615";1952;13;"goal";NA
"616";1952;21;"goal";NA
"617";1952;22;"goal";NA
"618";1952;30;"goal";NA
"619";1952;48;"goal";NA
"620";1952;93;"goal";NA
"621";1952;95;"goal";NA
"622";1954;12;"goal";NA
"623";1954;40;"goal";NA
"624";1954;48;"goal";NA
"625";1954;69;"goal";NA
"626";1955;36;NA;"r"
"627";1955;38;"goal";NA
"628";1955;65;"goal";NA
"629";1955;72;"goal";NA
"630";1955;86;"goal";NA
"631";1956;87;"goal";NA
"632";1956;90;"goal";NA
"633";1957;5;"goal";NA
"634";1957;13;"goal";NA
"635";1957;63;"goal";NA
"636";1957;68;"goal";NA
"637";1957;81;"goal";NA
"638";1958;27;"goal";NA
"639";1958;46;"goal";NA
"640";1959;8;"goal";NA
"641";1959;33;"goal";NA
"642";1959;39;"goal";NA
"643";1959;50;"goal";NA
"644";1959;64;NA;"r"
"645";1959;65;"goal";NA
"646";1960;50;"goal";NA
"647";1961;24;"goal";NA
"648";1961;57;"goal";NA
"649";1961;58;"goal";NA
"650";1961;64;"goal";NA
"651";1961;67;"goal";NA
"652";1962;14;NA;"r"
"653";1962;18;"goal";NA
"654";1962;56;"goal";NA
"655";1963;35;"goal";NA
"656";1963;51;"goal";NA
"657";1964;18;"goal";"r"
"658";1964;87;"goal";NA
"659";1964;89;NA;"y2"
"660";1965;23;"goal";NA
"661";1965;67;"goal";NA
"662";1965;82;"goal";NA
"663";1966;4;"goal";NA
"664";1966;22;"goal";NA
"665";1966;75;"goal";NA
"666";1967;84;"goal";NA
"667";1968;84;"goal";NA
"668";1969;14;"goal";NA
"669";1969;30;"goal";NA
"670";1969;58;"goal";NA
"671";1969;80;"goal";NA
"672";1969;93;"goal";NA
"673";1970;8;"goal";NA
"674";1970;49;"goal";NA
"675";1971;42;"goal";NA
"676";1971;52;"goal";NA
"677";1972;26;"goal";NA
"678";1972;47;"goal";NA
"679";1972;51;"goal";NA
"680";1972;61;"goal";NA
"681";1973;56;"goal";NA
"682";1973;65;"goal";NA
"683";1974;30;"goal";NA
"684";1974;80;NA;"y2"
"685";1974;82;"goal";NA
"686";1974;89;"goal";NA
"687";1975;92;"goal";NA
"688";1976;8;"goal";NA
"689";1976;38;"goal";NA
"690";1976;44;"goal";NA
"691";1976;78;"goal";NA
"692";1976;84;"goal";NA
"693";1977;2;"goal";NA
"694";1977;49;"goal";NA
"695";1978;80;NA;"y2"
"696";1979;5;"goal";NA
"697";1979;33;"goal";NA
"698";1979;83;"goal";NA
"699";1979;90;"goal";NA
"700";1980;19;"goal";NA
"701";1980;55;"goal";NA
"702";1980;76;"goal";NA
"703";1981;65;"goal";NA
"704";1982;19;"goal";NA
"705";1982;23;"goal";NA
"706";1982;33;"goal";NA
"707";1982;53;"goal";NA
"708";1982;55;"goal";NA
"709";1982;66;"goal";NA
"710";1983;3;"goal";NA
"711";1983;9;"goal";NA
"712";1983;29;"goal";NA
"713";1983;90;"goal";NA
"714";1984;28;"goal";NA
"715";1984;50;"goal";NA
"716";1984;59;"goal";NA
"717";1984;83;"goal";NA
"718";1985;33;"goal";NA
"719";1985;48;"goal";NA
"720";1985;62;"goal";NA
"721";1985;65;"goal";NA
"722";1986;33;"goal";NA
"723";1986;81;"goal";NA
"724";1987;18;"goal";NA
"725";1987;61;"goal";NA
"726";1987;71;"goal";NA
"727";1987;90;"goal";NA
"728";1987;92;"goal";NA
"729";1988;40;"goal";NA
"730";1988;48;"goal";NA
"731";1988;60;"goal";NA
"732";1988;63;"goal";NA
"733";1988;70;"goal";NA
"734";1988;74;"goal";NA
"735";1988;78;"goal";NA
"736";1989;36;"goal";NA
"737";1989;49;"goal";NA
"738";1989;56;"goal";NA
"739";1989;67;"goal";NA
"740";1989;70;"goal";NA
"741";1989;72;"goal";NA
"742";1989;74;"goal";NA
"743";1989;91;"goal";NA
"744";1989;93;"goal";NA
"745";1989;96;"goal";NA
"746";1990;48;"goal";NA
"747";1990;49;"goal";NA
"748";1991;24;"goal";NA
"749";1992;11;"goal";NA
"750";1992;85;"goal";NA
"751";1994;8;"goal";NA
"752";1994;21;"goal";NA
"753";1994;37;"goal";NA
"754";1994;54;"goal";NA
"755";1994;56;"goal";NA
"756";1994;94;"goal";NA
"757";1995;78;"goal";NA
"758";1996;75;"goal";NA
"759";1997;28;"goal";NA
"760";1997;61;"goal";NA
"761";1997;86;"goal";NA
"762";1999;29;"goal";NA
"763";1999;32;"goal";NA
"764";1999;57;"goal";NA
"765";1999;67;"goal";NA
"766";1999;68;"goal";NA
"767";1999;71;"goal";NA
"768";1999;79;"goal";NA
"769";2000;26;"goal";NA
"770";2000;67;"goal";NA
"771";2001;55;"goal";NA
"772";2001;70;"goal";NA
"773";2002;35;"goal";NA
"774";2002;54;"goal";NA
"775";2002;94;"goal";NA
"776";2004;46;"goal";NA
"777";2004;60;"goal";NA
"778";2005;29;"goal";NA
"779";2006;43;"goal";NA
"780";2006;60;"goal";NA
"781";2007;40;"goal";NA
"782";2007;58;"goal";NA
"783";2007;88;"goal";NA
"784";2008;45;"goal";NA
"785";2008;59;NA;"r"
"786";2008;63;"goal";NA
"787";2008;72;"goal";NA
"788";2008;89;"goal";NA
"789";2009;22;"goal";NA
"790";2009;28;"goal";NA
"791";2009;77;NA;"r"
"792";2009;87;"goal";NA
"793";2010;48;"goal";NA
"794";2010;71;"goal";NA
"795";2011;43;"goal";NA
"796";2011;82;"goal";NA
"797";2012;34;"goal";NA
"798";2013;25;"goal";NA
"799";2013;51;"goal";NA
"800";2014;27;"goal";NA
"801";2014;34;"goal";NA
"802";2014;47;"goal";NA
"803";2014;66;"goal";NA
"804";2014;66;"goal";NA
"805";2015;13;"goal";NA
"806";2015;41;"goal";NA
"807";2015;56;"goal";NA
"808";2015;78;NA;"r"
"809";2016;11;"goal";NA
"810";2016;14;"goal";NA
"811";2016;33;"goal";NA
"812";2017;48;"goal";NA
"813";2018;1;"goal";NA
"814";2018;4;"goal";NA
"815";2018;10;"goal";NA
"816";2018;21;"goal";NA
"817";2018;53;"goal";NA
"818";2019;18;"goal";NA
"819";2019;45;"goal";NA
"820";2020;28;"goal";NA
"821";2020;39;"goal";NA
"822";2020;49;"goal";NA
"823";2020;70;"goal";NA
"824";2020;86;"goal";NA
"825";2021;2;"goal";NA
"826";2021;38;"goal";NA
"827";2021;38;"goal";NA
"828";2021;84;"goal";NA
"829";2023;3;"goal";NA
"830";2023;9;"goal";NA
"831";2023;71;"goal";NA
"832";2023;86;"goal";NA
"833";2024;31;"goal";NA
"834";2024;52;"goal";NA
"835";2024;58;"goal";NA
"836";2024;86;"goal";NA
"837";2025;6;"goal";NA
"838";2025;14;"goal";NA
"839";2025;46;"goal";NA
"840";2025;60;"goal";NA
"841";2027;8;"goal";NA
"842";2027;17;"goal";NA
"843";2027;59;"goal";NA
"844";2027;59;"goal";NA
"845";2027;73;"goal";NA
"846";2028;41;"goal";NA
"847";2028;73;"goal";NA
"848";2028;95;"goal";NA
"849";2030;2;"goal";NA
"850";2030;29;"goal";NA
"851";2030;65;"goal";NA
"852";2030;86;"goal";NA
"853";2031;24;"goal";NA
"854";2031;37;NA;"r"
"855";2031;38;"goal";NA
"856";2031;48;"goal";NA
"857";2031;76;"goal";NA
"858";2032;14;"goal";NA
"859";2032;57;"goal";NA
"860";2033;41;"goal";NA
"861";2033;51;"goal";NA
"862";2033;60;NA;"r"
"863";2034;26;"goal";NA
"864";2034;46;"goal";NA
"865";2035;28;"goal";NA
"866";2035;63;"goal";NA
"867";2035;80;"goal";NA
"868";2036;59;"goal";NA
"869";2036;60;"goal";NA
"870";2036;68;"goal";NA
"871";2036;88;"goal";NA
"872";2036;95;"goal";NA
"873";2037;69;"goal";NA
"874";2037;76;"goal";NA
"875";2038;4;"goal";NA
"876";2038;59;"goal";NA
"877";2039;10;"goal";NA
"878";2039;16;"goal";NA
"879";2039;18;"goal";NA
"880";2039;31;"goal";NA
"881";2039;41;"goal";NA
"882";2040;31;"goal";NA
"883";2040;64;"goal";NA
"884";2040;77;"goal";NA
"885";2040;81;"goal";NA
"886";2041;47;"goal";NA
"887";2041;53;"goal";NA
"888";2041;74;"goal";NA
"889";2041;86;"goal";NA
"890";2041;90;"goal";NA
"891";2042;33;"goal";NA
"892";2042;50;"goal";NA
"893";2042;58;"goal";NA
"894";2043;38;"goal";NA
"895";2043;94;NA;"y2"
"896";2044;8;"goal";NA
"897";2045;71;NA;"r"
"898";2046;45;"goal";NA
"899";2046;88;"goal";NA
"900";2047;24;"goal";NA
"901";2048;26;"goal";NA
"902";2049;3;"goal";NA
"903";2049;27;"goal";NA
"904";2049;77;"goal";NA
"905";2049;91;NA;"y2"
"906";2050;5;"goal";NA
"907";2050;54;"goal";NA
"908";2050;87;"goal";NA
"909";2051;34;"goal";NA
"910";2051;55;"goal";NA
"911";2051;70;"goal";NA
"912";2051;82;"goal";NA
"913";2051;96;NA;"r"
"914";2052;13;"goal";NA
"915";2052;16;"goal";NA
"916";2052;53;"goal";NA
"917";2052;69;"goal";NA
"918";2052;77;NA;"r"
"919";2053;8;"goal";NA
"920";2053;45;"goal";NA
"921";2053;81;"goal";NA
"922";2053;93;"goal";NA
"923";2054;15;"goal";NA
"924";2054;41;"goal";NA
"925";2054;82;"goal";NA
"926";2055;3;"goal";NA
"927";2055;29;"goal";NA
